price,price_per_meter,elevator,parking,storage,location_encoded,floor_number,area
35100000000,260000000,1.0,1.0,1.0,46,4.0,135.0
49500000000,250000000,1.0,1.0,1.0,46,2.0,198.0
93000000000,300000000,1.0,1.0,1.0,33,2.0,310.0
6500000000,130000000,1.0,1.0,1.0,146,2.0,50.0
32200000000,195151000,1.0,1.0,1.0,36,2.0,165.0
2850000000,57000000,0.0,1.0,1.0,137,3.0,50.0
76800000000,320000000,1.0,1.0,1.0,46,2.0,240.0
3540000000,80454000,1.0,0.0,0.0,117,3.0,44.0
5280000000,72328000,1.0,1.0,1.0,137,2.0,73.0
4150000000,79807000,0.0,0.0,1.0,147,2.0,52.0
197000000000,600609000,1.0,1.0,1.0,135,6.0,328.0
6300000000,64285000,0.0,0.0,0.0,28,4.0,100.0
2750000000,59782000,1.0,1.0,1.0,98,5.0,46.0
3800000000,50000000,1.0,1.0,1.0,40,1.0,76.0
18000000000,171428000,1.0,1.0,0.0,148,5.0,105.0
7500000000,138888000,1.0,1.0,1.0,64,2.0,54.0
13750000000,109126000,1.0,1.0,1.0,19,3.0,126.0
2300000000,54761000,0.0,0.0,1.0,45,1.0,42.0
9000000000,90000000,1.0,1.0,1.0,121,3.0,100.0
3550000000,52205000,0.0,0.0,1.0,149,2.0,68.0
27200000000,194285000,1.0,1.0,1.0,138,7.0,140.0
11000000000,84615000,1.0,1.0,1.0,150,6.0,130.0
16700000000,159047000,1.0,1.0,1.0,57,4.0,105.0
8100000000,90000000,0.0,0.0,1.0,151,2.0,90.0
19100000000,161864000,1.0,1.0,1.0,20,6.0,118.0
10500000000,140000000,0.0,1.0,1.0,46,3.0,75.0
20000000000,142857000,1.0,1.0,1.0,35,3.0,140.0
10500000000,123529000,1.0,1.0,0.0,102,3.0,85.0
8500000000,65384000,1.0,1.0,1.0,152,3.0,130.0
5600000000,75675000,1.0,0.0,1.0,24,2.0,74.0
3500000000,67307000,1.0,0.0,1.0,52,3.0,52.0
33000000000,253846000,1.0,1.0,1.0,46,2.0,130.0
8800000000,118918000,1.0,1.0,1.0,19,2.0,74.0
14800000000,148000000,1.0,1.0,1.0,18,1.0,100.0
18400000000,143750000,1.0,1.0,1.0,1,5.0,128.0
11700000000,118181000,1.0,1.0,1.0,8,3.0,99.0
3170000000,59811000,0.0,0.0,1.0,26,2.0,53.0
9700000000,71851000,1.0,1.0,0.0,115,2.0,135.0
20100000000,199009000,1.0,1.0,1.0,78,3.0,101.0
6350000000,72159000,0.0,0.0,1.0,134,4.0,88.0
3900000000,70909000,1.0,1.0,1.0,26,1.0,55.0
5530000000,95344000,0.0,1.0,1.0,113,3.0,58.0
7800000000,82105000,1.0,1.0,1.0,17,10.0,95.0
3300000000,78571000,0.0,1.0,1.0,121,4.0,42.0
3250000000,72222000,0.0,0.0,1.0,30,3.0,45.0
